Id,Injured,Dead,Keywords,Causes,Consequences
2649,0,0,ship ran aground,external,
2650,103,14,"fire - consequence, injury",external,
2651,0,0,,external,
2652,0,0,,external,
2653,0,0,,external,
2654,0,0,collision,external,
2655,0,0,,external,
2656,0,0,,external,
2657,0,0,spill,external,
2658,0,0,,external,
2659,0,0,,external,
2660,0,0,,external,
2661,0,0,,external,
2662,0,0,,external,
2663,11,2,damage by backhoe,external,
2664,0,0,,external,
2665,0,0,ship ran aground,external,
2666,0,0,"shipping incidents, strong winds, pollution, ecological damage",external,
2667,0,0,sabotage,external,
2668,0,9,fire - consequence,external,
2669,0,0,fire - consequence,external,
2670,0,0,damage to equipment,external,
2671,0,11,collision,external,
2672,0,0,,external,
2673,0,0,,external,
2674,0,0,,external,
2675,0,0,marine vessel snagged pipeline,external,
2676,0,0,"ship ran aground, sinking",external,transport
2677,0,0,,external,
2678,0,5,fire - consequence,external,
2679,0,3,,external,
2680,0,0,gas / vapour release,external,
2681,0,0,"sabotage, fire - consequence",external,
2682,0,0,,external,
2683,0,0,"ship ran aground, spill",external,
2684,0,0,,external,
2685,0,0,,external,
2686,0,10,brakes faulty,external,
2687,0,0,,external,
2688,0,0,ship ran aground,external,
2689,0,0,,external,
2690,0,0,,external,
2691,0,0,ship ran aground,external,
2692,0,0,ship ran aground,external,
2693,0,0,,external,
2694,0,0,sabotage,external,
2695,0,0,,external,
2696,0,0,,external,
2697,18,1,sabotage,external,
2698,18,1,sabotage,external,
2699,1,0,sabotage,external,
2700,0,0,sabotage,external,
2701,0,0,,external,
2702,4,1,"vandalism, fire - consequence",external,
2703,0,41,fire - consequence,external,
2704,0,0,"coupling failure, spill",external,
2705,0,0,"sabotage, fire - consequence",external,
2706,0,0,"fire - consequence, capsize of platform",external,
2707,0,0,"fire - consequence, collision, spill",external,
2708,0,0,"collision, gas / vapour release, evacuation, spill",external,
2709,0,0,"hurricane, oil, damage to equipment",external,
2710,0,0,"evacuation, spill",external,
2711,0,0,"fire - consequence, drilling/digging/ploughing vehicles, excavation damage",external,
2712,0,0,,external,
2713,4,1,loss of control,external,
2714,22,0,,external,
2715,0,0,,external,
2716,0,0,"marine vessel snagged pipeline, damage to equipment",external,
2717,0,0,,external,
2718,0,0,collision,external,
2719,0,0,marine vessel snagged pipeline,external,
2720,49,0,excavation damage,external,
2721,0,0,"fire - consequence, storage tanks",external,
2722,0,0,ship ran aground,external,
2723,0,0,"road incidents, loss of control",external,
2724,0,0,spill,external,
2725,0,0,,external,
2726,0,2,missile,external,
2727,0,0,damage to equipment,external,
2728,0,11,driver error,external,
2729,3,0,"excavation damage, fire - consequence",external,
2730,0,0,evacuation,external,
2731,0,0,terrorism,external,
2732,0,0,,external,
2733,0,0,"spill, sinking",external,
2734,0,0,"spill, cold weather",external,
2735,0,0,"arson, fire - consequence",external,
2736,0,0,,external,
2737,0,0,ship ran aground,external,
2738,0,0,"cold weather, demolition, hot work",external,
2739,0,0,,external,
2740,0,0,,external,
2741,0,0,ship ran aground,external,
2742,0,0,,external,
2743,0,0,excavation damage,external,
2744,0,0,"fire - consequence, collision",external,
2745,0,0,storage tanks,external,
2746,0,3,sinking,external,transport
2747,0,0,shipping incidents,external,
2748,0,0,"excavation damage, gas / vapour release",external,
2749,5,1,fire - consequence,external,
2750,600,37,"fire - consequence, driver error",external,
2751,0,0,,external,
2752,0,0,,external,
2753,0,0,,external,
2754,0,0,refining,external,
2755,0,0,fire - consequence,external,
2756,0,3,overturn,external,
2757,0,0,sinking,external,transport
2758,0,0,,external,
2759,0,0,excavation damage,external,
2760,0,0,"pollution, storage tanks",external,
2761,0,0,collision,external,
2762,0,0,"vandalism, pollution, damage to equipment",external,
2763,0,0,marine vessel snagged pipeline,external,
2764,0,0,ship ran aground,external,
2765,0,0,"marine transport, marine vessel snagged pipeline, damage to equipment",external,
2766,0,0,"marine transport, marine vessel snagged pipeline",external,
2767,0,0,marine transportation,external,
2768,0,0,spill,external,
2769,0,0,"spill, sinking",external,transport
2770,0,0,"fire - consequence, warehousing",external,
2771,0,0,"terrorism, spill",external,
2772,0,141,fire - consequence,external,
2773,6,0,"fire - consequence, evacuation, injury",external,
2774,0,0,fire - consequence,external,
2775,0,0,,external,
2776,0,171,damage to equipment,external,
2777,0,0,strong winds,external,
2778,0,0,ship ran aground,external,
2779,0,0,,external,
2780,0,0,,external,
2781,0,0,"cold weather, cracking",external,
2782,4,0,fire - consequence,external,
2783,0,0,transportation,external,
2784,0,0,"spill, ship ran aground",external,
2785,7,0,derailment,external,
2786,0,0,,external,
2787,0,0,"derailment, fire - consequence",external,
2788,18,3,,external,
2789,0,0,fire - consequence,external,
2790,0,0,,external,
2791,0,0,spill,external,
2792,0,0,ship ran aground,external,
2793,0,0,sinking,external,
2794,0,0,"gas / vapour release, excessive vibration, flow restriction, maintenance inadequate","external, human",
2795,0,0,excavation damage,external,
2796,0,0,ship ran aground,external,
2797,0,0,collision,external,
2798,15,0,"collision, spill",external,
2799,0,1,"collision, fire - consequence, aerosol propellant",external,transport
2800,12,1,injury,external,
2801,0,0,,external,
2802,0,0,,external,
2803,0,18,sinking,external,transport
2804,100,68,fire - consequence,external,
2805,0,0,,external,
2806,0,0,"fire - consequence, refining",external,
2807,0,0,"collision, loss of control",external,transport
2808,0,0,ship ran aground,external,
2809,0,0,,external,
2810,10,18,"fire - consequence, road tanker, fatality, burns, injury",human,"fire, people"
2811,1,0,"asphyxiation, operator error, breathing apparatus, injury",human,people
2812,0,1,"drums, hot work, safety procedures inadequate, fatality, fire - consequence",human,"explosion, fire, people"
2813,0,0,"fire - consequence, safety equipment failure",human,fire
2814,0,0,"leak, maintenance inadequate, pollution",human,environmental
2815,0,0,"fire - consequence, deliberate acts, plant / property / equipment",human,fire
2816,0,1,"fatality, normal operations, safety procedures inadequate",human,people
2817,1,0,"safety procedures inadequate, operational activities, mechanical handling equipment, injury",human,people
2818,0,1,"fatality, safety procedures inadequate",human,people
2819,0,0,"fire - consequence, material transfer, design inadequate, mechanical equipment failure",human,fire
2820,0,1,"maintenance inadequate, management system inadequate, burns, fatality",human,explosion
2821,0,1,"fatality, design or procedure error, normal operations, safety procedures inadequate",human,
2822,3,0,"gas / vapour release, flare line, flare system, blind/spade/slip plate, safety relief valve, isolation inadequate, maintenance procedure error, injury",human,environmental
2823,1,0,"isolation inadequate, injury",human,
2824,0,0,"operator error, spill, near miss",human,"environmental, nearmiss"
2825,0,0,"evacuation, operator error, permit to work system inadequate, maintenance","human, management",environmental
2826,1,0,"scaffolding, fall, people, maintenance,  safety procedures inadequate, management system inadequate, design or procedure error, injury",human,plant
2827,2,0,"maintenance, burns, safety procedures inadequate, gas / vapour release, injury",human,environmental
2828,1,0,"explosion, drums, safety procedures inadequate, hot work, injury",human,explosion
2829,0,0,"processing, compressor, vent, backflow, isolation inadequate, vent blocked, gas / vapour release","human, process",environmental
2830,0,0,operator error,human,explosion
2831,2,0,"explosion, labelling incorrect",human,explosion
2832,0,1,"fatality, safety procedures inadequate, fall",human,
2833,0,1,"safety procedures inadequate, fatality",human,
2834,0,0,"maintenance, storage tanks, spill, maintenance inadequate",human,environmental
2835,1,0,"safety procedures inadequate, people",human,
2836,1,0,"safety procedures inadequate, injury",human,
2837,0,0,"solids processing, dust explosion, starch, solids processing equipment, design inadequate",human,explosion
2838,0,0,"safety procedures inadequate, processing",human,"environmental, explosion"
2839,0,0,"fire - consequence, faulty instructions, processing","human, process","fire, plant"
2840,0,2,"processing, fatality, material transfer, fire - consequence, safety procedures inadequate",human,"explosion, fire"
2841,1,0,"maintenance, fall, safety procedures inadequate",human,
2842,1,0,"scaffolding, safety procedures inadequate, injury",human,
2843,0,1,"road transport, safety procedures inadequate, fatality",human,
2844,1,0,"operator error, design inadequate",human,
2845,0,0,"damage to equipment, labelling incorrect, design or procedure error, incinerator",human,plant
2846,0,0,"maintenance, contractor error",human,nearmiss
2847,21,2,,human,
2848,-,0,"fire - consequence, damage to equipment, operator error, design or procedure error, competency lacking, drums, processing, injury",human,plant
2849,0,9,"asphyxiation, gas / vapour release, operator error, drains & sewers",human,
2850,1,0,installation inadequate,human,
2851,0,0,"near miss, plant / property / equipment, safety procedures inadequate, management system inadequate",human,nearmiss
2852,0,1,"electric shock, fatality, maintenance, safety procedures inadequate, electrical",human,
2853,0,100,"fire - consequence, trinitrotoluene, fatality",human,
2854,0,0,operator error,human,
2855,0,0,"material transfer, pollution, operator error, marine transport",human,
2856,0,0,"plant shutdown, safety procedures inadequate, near miss, personal protective equipment",human,"nearmiss, plant"
2857,0,0,"fire - consequence, operator error, processing",human,
2858,0,0,"fire - consequence, spill, design or procedure error, gas / vapour release, isolation inadequate",human,
2859,4,0,"gas / vapour release, permit to work system inadequate, safety procedures inadequate, ","human, management",
2860,0,0,operator error,human,
2861,1,0,"fall, processing, design inadequate",human,
2862,0,1,"maintenance, hot work, fire - consequence, testing inadequate, electrical",human,
2863,1,0,"gas / vapour release, evacuation, maintenance inadequate, injury",human,
2864,0,1,"damage to equipment, faulty instructions","human, process",
2865,0,0,"damage to equipment, product loss, plant shutdown, lifting equipment, safety procedures inadequate, design or procedure error",human,
2866,0,0,"explosion / pressure release, operator error, training inadequate","human, management",
2867,1,0,"safety procedures inadequate, injury",human,
2868,0,0,safety procedures inadequate,human,
2869,1,0,"operation inadequate, operator error, people",human,
2870,1,0,"gas / vapour release, isolation inadequate, operational activities",human,
2871,1,0,"people, safety procedures inadequate, design or procedure error",human,
2872,0,0,"fire - consequence, maintenance inadequate",human,
2873,0,1,safety procedures inadequate,human,
2874,1,0,"safety procedures inadequate, maintenance, injury",human,
2875,1,0,"fall, safety procedures inadequate, injury",human,
2876,3,0,"maintenance procedure error, radioactive, operation inadequate, people",human,
2877,0,0,"gas / vapour release, plant shutdown, processing, draining of line insufficient",human,
2878,0,0,"fire - consequence, maintenance inadequate, inspection inadequate",human,
2879,0,0,gas / vapour release,human,
2880,1,0,"fall, safety procedures inadequate, injury",human,
2881,1,0,"design or procedure error, burns, maintenance inadequate, refining",human,
2882,0, -,"safety procedures inadequate, fatality",human,
2883,0,1,"fall, safety procedures inadequate, design or procedure error, fatality",human,
2884,0,0,operator error,human,
2885,0,109,"deliberate acts, labelling incorrect",human,
2886,0,0,"containers, labelling incorrect, spill, transportation, material transfer",human,
2887,5,17,"design inadequate, storage tanks, cooling equipment",human,
2888,0,0,safety procedures inadequate,human,
2889,207,0,"storage tanks, gas / vapour release, overheating, design inadequate","human, process",
2890,0,0,"overpressurisation, operator error","human, process",
2891,0,0,"spill, environmental, design inadequate",human,
2892,0,0,drug misuse,human,
2893,0,1,"scaffolding, maintenance, material of construction failure, safety procedures inadequate, fatality",human,
2894,12,0,safety procedures inadequate,human,
2895,100+,23,"gas / vapour release, reaction vessel, maintenance inadequate, fire - consequence, isolation inadequate",human,
2896,0,0,"gas / vapour release, processing, maintenance inadequate, damage to equipment",human,
2897,0,1,"maintenance, storage tanks, fatality, scaffolding, fall, personal protective equipment, mechanical equipment failure, safety procedures inadequate",human,
2898,5,2,"pipeline, pipe laying inadequate",human,
2899,0,1,"inadequate guarding, fall",human,
2900,1,0,"fall, unloading, safety procedures inadequate, injury",human,
2901,0,0,"ship ran aground, mechanical equipment failure, operator error",human,
2902,0,0,operator/crew fatigue,human,
2903,0,0,"maintenance procedure error, operator error",human,
2904,706,462,"fire - consequence, operation inadequate, operator error, rail transportation, vapour cloud explosion, derailment - consequence, transportation, passenger train, injury",human,transport
2905,0,0,operator error,human,
2906,0,0,contractor error,human,
2907,55,6,"fire - consequence, evacuation, fatality, operator error",human,
2908,0,1,"scaffolding, maintenance, mechanical equipment failure, safety procedures inadequate, fatality",human,
2909,0,1,"fall, scaffolding, fatality, safety procedures inadequate",human,
2910,0,1,"safety procedures inadequate, fall, fatality, road vehicle",human,
2911,0,2,"operational activities, mechanical equipment failure, fall, fatality, safety procedures inadequate, lifting equipment",human,
2912,0,1,"scaffolding, personal protective equipment, fall, safety procedures inadequate, material of construction failure, fatality, maintenance",human,
2913,0,167,"offshore, fire - consequence, permit to work system inadequate, blind/spade/slip plate, shift change","human, management",
2914,1,0,"reactors and reaction equipment, safety procedures inadequate, maintenance",human,
2915,0,0,operator error,human,transport
2916,1,1,"material transfer, lightning, mechanical spark, cigarette, damage to equipment, fatality",human,
2917,-,0,"fire - consequence, warehousing",human,
2918,0,0,"spill, operator error, processing, plant shutdown",human,
2919,350,2,"fatality, fire/explosion, management system inadequate, maintenance inadequate, heating",human,
2920,0,0,operator error,human,
2921,0,0,"reactors and reaction equipment, evacuation, spill",human,
2922,1,0,"operator error, poisoning, slip plate insertion/removal",human,
2923,0,0,"explosion, fire - consequence, training inadequate, operator error, refining","human, management",
2924,1,0,"safety procedures inadequate, fire - consequence, charging reactor","human, process",
2925,0,0,"operator error, gas / vapour release, damage to equipment",human,
2926,0,0,"testing, fire - consequence","human, process",
2927,0,0,maintenance inadequate,human,
2928,1,0,"isolation inadequate, mechanical handling equipment",human,
2929,21,31,"fire - consequence, fatality, injury",human,
2930,0,0,"fire - consequence, processing",human,
2931,1,0,operator error,human,
2932,14,1,"unloading, cigarette, material transfer",human,
2933,0,0,"training inadequate, safety procedures inadequate, fire - consequence, damage to equipment, plant shutdown","human, management",
2934,2,1,"fire - consequence, cleaning",human,
2935,4,0,"gas / vapour release, blind/spade/slip plate, slip plate insertion/removal, cracking",human,
2936,14,2,"contractor error, fire - consequence",human,
2937,0,0,"contamination, operator error, cleaning",human,
2938,0,0,"fire - consequence, warehousing, safety procedures inadequate",human,
2939,0,0,"damage to equipment, safety procedures inadequate",human,
2940,2,2,"gas / vapour release, fire - consequence, vapour cloud explosion, burns, isolation inadequate, injury",human,
2941,0,0,"entry into confined space, maintenance, flange leak, testing inadequate","human, process",
2942,6,1,"fire - consequence, maintenance, fatality, safety procedures inadequate",human,
2943,1,0,"maintenance, safety procedures inadequate",human,
2944,1,0,"spill, draining of line insufficient, hot surface, fire - consequence",human,
2945,0,1,contractor error,human,
2946,0,0,"operator error, gas / vapour release, temperature meter/control, plant shutdown",human,
2947,170,16,"collision, fatality, safety procedures inadequate, drug misuse, design inadequate, injury",human,transport
2948,2,2,"hot surface, fire - consequence, spill, operator error, refining",human,
2949,-, -,"transportation, plant / property / equipment, safety procedures inadequate",human,
2950,1,0,"safety procedures inadequate, injury",human,
2951,1,0,"mechanical equipment failure, pipe, safety procedures inadequate, injury",human,
2952,-, -,"bolt failure, material of construction failure, plant / property / equipment, safety procedures inadequate",human,
2953,0,1,"fire - consequence, hydrocarbon, fatality, safety procedures inadequate",human,
2954,-, -,"mechanical equipment failure, plant / property / equipment, safety procedures inadequate",human,
2955,-, -,"fall, construction, safety procedures inadequate, design or procedure error",human,
2956,0,1,"inspection, asphyxiation, fatality, safety procedures inadequate",human,
2957,0,0,"reactors and reaction equipment, electrical, operator error",human,
2958,0,0,"preparation for maintenance, automatic valve, blowout, maintenance procedure error, contractor error, spill",human,
2959,19,17,"mechanical equipment failure, safety procedures inadequate, fatality, injury, processing",human,
2960,0,4,"fire - consequence, installation inadequate",human,
2961,0,2,"material transfer, explosion, fire - consequence, training inadequate, safety procedures inadequate,  inspection inadequate, gas / vapour release, fatality","human, management",
2962,1,0,"contractor error, hot work, injury",human,
2963,0,1,"safety procedures inadequate, fatality",human,
2964,15,0,"fire - consequence, explosion",human,
2965,0,0,"cleaning, reaction vessel, maintenance, safety procedures inadequate, fluid cracker",human,
2966,0,0,"maintenance inadequate, damage to equipment",human,
2967,1,0,"demolition, temporary equipment, training inadequate, design inadequate, injury","human, management",
2968,1,0,"entry into confined space, fall, design inadequate, safety procedures inadequate, scaffolding",human,
2969,9,0,fire - consequence,human,
2970,1,0,"safety procedures inadequate, permit to work system inadequate, injury","human, management",
2971,0,0,"modification, inspection inadequate, start-up, fire - consequence",human,
2972,0,0,"entry into confined space, safety procedures inadequate",human,
2973,3,1,"fatality, collision, fog, operator error, safety procedures inadequate, design inadequate, injury",human,transport
2974,0,1,"material transfer, operator error, radioactive release, fatality, overflow, gas / vapour release",human,
2975,0,0,"marine freighter, operator error, safety procedures inadequate, collision, damage to equipment",human,transport
2976,0,0,"environmental, leak, maintenance inadequate",human,
2977,0,0,fire - consequence,human,
2978,1,0,"unwanted chemical reaction, high pressure, installation inadequate, canned pump",human,
2979,1,0,"gas / vapour release, spill, safety procedures inadequate",human,
2980,177,0,"rail transport, derailment - consequence, training inadequate, inspection inadequate, maintenance inadequate, injury","human, management",transport
2981,0,0,"damage to equipment, maintenance procedure error, safety procedures inadequate, expansion joint failure",human,
2982,30,000+,"testing, reactors and reaction equipment, radioactive release, testing inadequate, design or procedure error, fatality, injury",human,
2983,0,1,"road transport, people, safety procedures inadequate, fatality",human,
2984,0,0,"human causes, maintenance inadequate",human,
2985,1,0,"container ship, equipment misalignment, safety equipment failure, safety procedures inadequate, marine transport, fall, injury",human,
2986,0,0,"storage tanks, seal failure, damage to equipment, operator error",human,
2987,0,0,"repair, blowout, incorrect equipment installed, maintenance procedure error",human,
2988,0,0,"hydrocarbon, start-up, flange, blowout, fire - consequence, design inadequate, thermal expansion, joint leak","human, process",
2989,0,0,"pollution, maintenance inadequate, testing inadequate, spill, processing",human,
2990,-,0,"operator error, gas / vapour release",human,
2991,13,11,"LPG, fatality, maintenance procedure error, standards inadequate, operator error, injury",human,
2992,0,2,"contractor error, excavation damage",human,
2993,0,2,"excavation damage, gas / vapour release, fire - consequence, contractor error",human,
2994,2,1,"marine transportation, fatality, sinking, corrosion, lining failure, inspection inadequate",human,transport
2995,0,0,Leak,human,
2996,0,0,,human,
2997,0,0,"damage by backhoe, excavation damage, contractor error",human,
2998,0,0,"acrylonitrile, operator error, identification inadequate, explosion, reactors and reaction equipment",human,
2999,49,0,"road vehicle, injury, damage to equipment, driver error, safety procedures inadequate, explosive, fire - consequence, evacuation, injury",human,
3000,-, -,"collison, damage to equipment, operator error, safety procedures inadequate, maintenance inadequate",human,
3001,1,2,"normal operations, design inadequate, fatality, injury",human,
3002,0,0,"reactors and reaction equipment, material transfer, maintenance procedure error",human,
3003,200,56,"fire - consequence, safety procedures inadequate, fatality, people, injury",human,
3004,1,0,"road transportation, road transport, damage to equipment, inspection inadequate, collapse, injury",human,
3005,0,2,"cleaning, evacuation, cleaning procedure incorrect, fatality",human,
3006,1,0,"personal protective equipment, safety procedures inadequate",human,
3007,0,0,contractor error,human,
3008,1,0,"fire - consequence, installation inadequate, burns",human,
3009,0,0,"reactors and reaction equipment, fire - consequence, charging reactor, safety procedures inadequate",human,
3010,0,0,"reactors and reaction equipment, operator error, high temperature",human,
3011,0,0,"hydrocarbon, boilover, safety procedures inadequate, operator error",human,
3012,0,0,"safety procedures inadequate, charging reactor","human, process",
3013,0,0,"maintenance inadequate, draining of line insufficient",human,
3014,1,0,"safety procedures inadequate, contractor error, maintenance",human,
3015,0,0,"material of construction failure, gas / vapour release, reactors and reaction equipment, maintenance inadequate, near miss",human,nearmiss
3016,16,0,"offloading, spill, unloading, labelling incorrect","human, process",
3017,7231,500,"fire - consequence, storage tanks, damage to equipment, fire - consequence, safety procedures inadequate, injury",human,
3018,1,0,injury,human,
3019,1,0,"fall, safety procedures inadequate, injury",human,
3020,1,0,"operator error, solids processing",human,
3021,1,0,"safety procedures inadequate, training inadequate, explosion / pressure release, injury","human, management",
3022,0,3,"fatality, safety procedures inadequate, entry into confined space, pipework, fire - consequence, gas / vapour release",human,
3023,28,16,"vapour cloud explosion, fatality, leak, injury",human,
3024,0,0,"fire - consequence, contractor error",human,
3025,20,0,"fire - consequence, evacuation, silo/hopper, contamination, safety procedures inadequate",human,
3026,0,1,"fatality, maintenance, safety procedures inadequate",human,
3027,0,0,"near miss, safety procedures inadequate",human,nearmiss
3028,0,0,"maintenance inadequate, evacuation, people",human,
3029,0,0,fire - consequence,human,
3030,0,0,"operator error, refining",human,
3031,16,5,"methane, maintenance, repair, fatality, maintenance procedure error, safety procedures inadequate",human,
3032,0,0,separation equipment,"human, process",
3033,0,0,"ecological damage, design inadequate, material of construction failure",human,
3034,0,0,"fire - consequence, contractor error, drums",human,
3035,1,0,"fall, safety procedures inadequate",human,
3036,0,0,"offshore, safety procedures inadequate, damage to equipment, navigation error",human,
3037,1,0,vapour cloud explosion,human,
3038,0,0,installation inadequate,human,
3039,0,0,"normal operations, silo/hopper, safety procedures inadequate, design or procedure error",human,
3040,1,0,cleaning procedure incorrect,"human, process",
3041,0,0,"excavation damage, near miss, contractor error",human,nearmiss
3042,0,0,"fire - consequence, operator error",human,
3043,0,0,"alcohol, ethanol, unloading, IBC, collapse, rupture, tank failure, standards inadequate",human,
3044,0,0,"operator error, refining",human,
3045,0,1,"welding, grease, explosion, fatality, cleaning procedure incorrect, inadequate procedure, centrifuge, separator",human,
3046,0,0,"diesel, start-up, vent, spill, fire - consequence, safety procedures inadequate, operator error",human,
3047,0,1,"safety procedures inadequate, fatality",human,
3048,0,0,"operator error, unloading, pollution",human,
3049,0,0,"mechanical equipment failure, refining",human,
3050,0,0,"ammonia, corrosion, inspection inadequate, rupture, still, material transfer, low pressure",human,
3051,0,0,"mechanical equipment failure, refining",human,
3052,0,0,"refining, operator error",human,
3053,0,0,"butane, processing, material transfer, terminal, loading arm, environmental, design inadequate",human,
3054,0,0,"refrigeration unit, gas / vapour release, installation inadequate, marine tanker",human,
3055,19,71,"LPG, fatality, competency lacking, operator error, vapour cloud explosion, gas / vapour release, hot surface, injury",human,
3056,0,0,"ethylene oxide, laboratory work, operator error, safety equipment failure, gas / vapour release",human,
3057,0,0,"spill, design or procedure error",human,
3058,0,0,spill,human,
3059,1,0,"cleaning, safety procedures inadequate, people",human,
3060,1,0,"operator error, collision, river transport, damage to equipment, injury",human,
3061,1,1,"road tanker, inspection inadequate, testing inadequate, gasoline, fatality, welding, injury",human,
3062,0,0,"material transfer, overpressure, gas / vapour release, pump dead headed, design inadequate, blockage by polymer","human, process",
3063,0,0,"vinyl chloride monomer, VCM, storage sphere, maintenance inadequate, gas / vapour release",human,
3064,0,0,leak,human,
3065,0,0,"design inadequate, training inadequate, maintenance inadequate, inspection inadequate, flameout, mechanical equipment failure, gas / vapour release","human, management, process",
3066,0,0,operator error,human,
3067,0,0,"fire - consequence, operator error, reactors and reaction equipment",human,
3068,0,0,"operator error, maintenance, unknown chemicals",human,
3069,0,0,"hydrocarbon, flange, blowout, fire - consequence, identification inadequate, safety procedures inadequate",human,
3070,-,6,"fire - consequence, damage to equipment, process causes, fatality, operator error, reactors and reaction equipment, injury",human,
3071,0,2,"fatality, safety procedures inadequate",human,
3072,0,0,"propane, shutdown, shell and tube heat exchanger, blowout, fire - consequence, thermal expansion, maintenance inadequate",human,
3073,0,0,"refining, operator error",human,
3074,0,0,"testing, reactors and reaction equipment, unwanted chemical reaction, spill, operator error, diethyl sulphate",human,
3075,0,0,"fire - consequence, cleaning procedure incorrect",human,
3076,4,7,"fire - consequence, operator error",human,
3077,0,0,"contamination, operation inadequate, contractor error, evacuation",human,
3078,1,0,"maintenance, entry into confined space, repair, air line, breathing apparatus, tank, asphyxiation, operator error, shift change, competency lacking, maintenance procedure error, contractor error, atmosphere not tested, management system inadequate, permit to work system inadequate","human, management",
3079,0,0,"damage to equipment, operator error",human,
3080,0,0,"fire - consequence, refining",human,
3081,2,1,"mechanical equipment failure, refrigeration unit, fatality, safety procedures inadequate, people, gas / vapour release, unloading, marine transport, injury",human,
3082,1,3,"repair, faulty instructions",human,
3083,2,0,"fire - consequence, cracking, slip plate insertion/removal, blind/spade/slip plate, isolation inadequate",human,
3084,0,0,atmosphere not tested,human,
3085,0,0,"damage to equipment, operator error",human,
3086,1,0,"flow rate too high, additional incorrect operation, gasoline","human, process",
3087,0,2,"inadequate cleaning, operation omitted, cleaning procedure incorrect, damage to equipment, fatality",human,
3088,0,0,"fire - consequence, aviation fuel, gasoline, lack of fire water, contractor error, inadequate supervision, electrical spark, loading/unloading",human,
3089,7,0,"refining, entry into confined space, atmosphere not tested, poisoning",human,
3090,0,0,"oxyacetylene cutting equipment, floating roof tank, fire - consequence, sludge, leak, hose failure, maintenance inadequate, decommissioning, hot work",human,
3091,0,0,"hydrocarbon, safety relief valve, blowout, fire - consequence, installation inadequate, design inadequate",human,
3092,0,0,"butane, propane, normal operations, filter, fire - consequence,  valve failure, maintenance inadequate",human,
3093,0,0,"design or procedure error, safety procedures inadequate",human,
3094,0,0,"power supply failure, design or procedure error, safety procedures inadequate","human, utility",
3095,0,0,"operator error, fire - consequence",human,
3096,0,0,"naphtha, fin fan cooler, blowout, design inadequate, corrosion, safety procedures inadequate",human,
3097,0,0,"fire - consequence, operator error, reactors and reaction equipment","human, process",
3098,6,7,"fire - consequence, operator error",human,
3099,0,3,"collision, operator error",human,transport
3100,0,1,"road transportation, fatality, driver error, safety procedures inadequate",human,
3101,0,0,"reactors and reaction equipment, alarm failure, high temperature, charging reactor, contractor error",human,
3102,0,5,"spill, reactors and reaction equipment, maintenance procedure error",human,
3103,0,0,"fire - consequence, refining, transformer, operator error",human,
3104,1,0,"mechanical spark, maintenance procedure error, fire - consequence, corrosion, storage, shoval, injury",human,nearmiss
3105,0,0,"maintenance, line break, preparation for maintenance, hand tools, gas / vapour release, faulty instructions",human,
3106,0,0,"air system failure, maintenance inadequate, design inadequate","human, utility",
3107,0,0,"fire - consequence, refining",human,
3108,0,0,"fire - consequence, design inadequate","human, process",
3109,1,0,"laboratory work, testing, material of construction failure, operator error, plant / property / equipment",human,
3110,3,1,"fire - consequence, pipeline, testing inadequate",human,
3111,0,0,"maintenance, safety procedures inadequate, damage to equipment",human,
3112,-,123,"capsize of platform, mechanical equipment failure, design inadequate, exploration, structural failure, fatality",human,
3113,0,0,"operator error, refining",human,
3114,0,1,"excavation damage, operator error, vapour cloud explosion, bulldozer/JCB/digger",human,
3115,0,0,"fire - consequence, contamination, mixing, material transfer, operator error, damage to equipment",human,
3116,1,0,"maintenance, scaffolding, fall, safety procedures inadequate, injury",human,
3117,1,0,"maintenance, contamination, near miss, atmosphere not tested, entry into confined space, injury",human,nearmiss
3118,1,0,"cleaning, operator error, near miss, injury",human,nearmiss
3119,0,0,operator error,human,
3120,1,0,"fire - consequence, competency lacking, burns",human,
3121,1,0,"safety procedures inadequate, gasoline, injury",human,
3122,0,0,"lifting equipment, damage to equipment, design fault, forklift truck",human,
3123,3,0,"safety procedures inadequate, permit to work system inadequate, slip plate insertion/removal, isolation inadequate, blind/spade/slip plate","human, management",
3124,8,0,"safety procedures inadequate, gas / vapour release, slip plate insertion/removal, blind/spade/slip plate, cracking",human,
3125,1,0,safety procedures inadequate,human,
3126,27,0,"high temperature, operator error, injury",human,
3127,1,0,"hydrocarbon, shutdown, flange, fire - consequence, draining of line insufficient, safety procedures inadequate",human,
3128,0,0,"fire - consequence, damage to equipment, operator error, maintenance",human,
3129,0,1,"fatality, scaffolding, permit to work system inadequate, fatality",management,
3130,0,0,"maintenance, design or procedure error, operation inadequate, training inadequate, gas / vapour release, management system inadequate",management,"environmental, explosion"
3131,0,0,"fire - consequence, modification procedures inadequate, high pressure, rupture, leak, normal operations, aerosol propellant",management,"explosion, fire, plant"
3132,0,1,"scaffolding, maintenance, fall, fatality, design or procedure error, permit to work system inadequate",management,
3133,0,0,"near miss, demolition, permit to work system inadequate",management,nearmiss
3134,0,1,"fire - consequence, vapour cloud explosion, refining, training inadequate",management,
3135,1,0,"maintenance, permit to work system inadequate",management,
3136,0,0,"evacuation, fire - consequence, training inadequate, unwanted chemical reaction, reactors and reaction equipment, processing",management,
3137,1,0,"training inadequate, injury",management,
3138,1,0,"flow restriction, spill, permit to work system inadequate",management,
3139,0,0,"material transfer, evacuation, operation inadequate, permit to work system inadequate,",management,
